Score: 0, Metrics: {'acc': 0.9962081909179688, 'prec': 0.3867093674939952, 'rec': 0.679324894514768, 'f1': 0.4928571428571429}
Score: 1, Metrics: {'acc': 0.988250732421875, 'prec': 0.48704789833822093, 'rec': 0.6701412239408204, 'f1': 0.5641098216812906}
Score: 2, Metrics: {'acc': 0.9955368041992188, 'prec': 0.8728126333760137, 'rec': 0.70106273568735, 'f1': 0.7775665399239544}
Score: 3, Metrics: {'acc': 0.9970893859863281, 'prec': 0.7544419134396355, 'rec': 0.8808510638297873, 'f1': 0.8127607361963191}
Score: 4, Metrics: {'acc': 0.9957962036132812, 'prec': 0.6639194139194139, 'rec': 0.4965753424657534, 'f1': 0.5681818181818182}
Score: 5, Metrics: {'acc': 0.9745254516601562, 'prec': 0.9951360389116887, 'rec': 0.4962480103084969, 'f1': 0.6622496459639895}
Score: 6, Metrics: {'acc': 0.9801750183105469, 'prec': 0.5651731160896131, 'rec': 0.47541545314373823, 'f1': 0.5164231878663813}
Score: 7, Metrics: {'acc': 0.9849472045898438, 'prec': 0.7310152990264256, 'rec': 0.46869983948635635, 'f1': 0.5711801782221256}
Score: 8, Metrics: {'acc': 0.99310302734375, 'prec': 0.11338582677165354, 'rec': 0.6447761194029851, 'f1': 0.19285714285714287}
Score: 9, Metrics: {'acc': 0.9941558837890625, 'prec': 0.5661764705882353, 'rec': 0.528604118993135, 'f1': 0.5467455621301776}
Score: 10, Metrics: {'acc': 0.989959716796875, 'prec': 0.7304573467401881, 'rec': 0.5556377991611152, 'f1': 0.6311659192825112}
Score: 11, Metrics: {'acc': 0.9959449768066406, 'prec': 0.6671026814911707, 'rec': 0.6480304955527318, 'f1': 0.6574282951981953}
Score: 12, Metrics: {'acc': 0.9935073852539062, 'prec': 0.8404255319148937, 'rec': 0.7099350973539691, 'f1': 0.7696887686062246}
Score: 13, Metrics: {'acc': 0.9798583984375, 'prec': 0.8313810950694633, 'rec': 0.3956955788927784, 'f1': 0.5361911454673226}
Score: 14, Metrics: {'acc': 0.9871101379394531, 'prec': 0.5454255658272235, 'rec': 0.4669759825327511, 'f1': 0.5031612998088516}
Score: 15, Metrics: {'acc': 0.9953041076660156, 'prec': 0.9359582542694497, 'rec': 0.6428804170739655, 'f1': 0.7622175004829052}
Score: 16, Metrics: {'acc': 0.9830780029296875, 'prec': 0.7780299591466182, 'rec': 0.4978216671507406, 'f1': 0.6071555083244775}
Score: 17, Metrics: {'acc': 0.9908638000488281, 'prec': 0.9201127819548872, 'rec': 0.6558365432925808, 'f1': 0.7658159773149507}
Score: 18, Metrics: {'acc': 0.9989280700683594, 'prec': 0.8962264150943396, 'rec': 0.9449970743124634, 'f1': 0.9199658217032185}
Score: 19, Metrics: {'acc': 0.9955825805664062, 'prec': 0.4347532116294794, 'rec': 0.666321243523316, 'f1': 0.5261865793780688}
